argironet,蛛ᴬᴿ
argon,气ᴬᴳ
argonaŭt,虫ᴬᴿ
argument,论ᴬ
arid,旱
arier,后卫
aristokrat,贵ᴬ
aritmetik,算ᴬ
ark,弧
arka,古ᴬᴿ
arkad,拱廊
arkaik,古ᴬᴵ
arkaism,古主义ᴬᴷ
arkan,秘ᴬ
arke,方舟
arkegoni,颈卵器
arkeo,古ᴬᴼ
arkeolog,古学家ᴬᴷ
arkeologi,古学ᴬᴷ
arkeopterig,古翅
arketip,原型ᴬ
arki,首ᴬ
arkipelag,群岛
arkitekt,建筑
arkitektur,建筑ᴬᴿ
arkiteŭt,贝ᴬᴿ
arkiv,档ᴬ
arkt,极ᴬ
arkte,菊ᴬᴿ
arkti,虫ᴬᴷ
arktostafil,木ᴬᴼ
arkus,弧ᴬˢ
arleken,丑ᴬ
arm,武
armadel,兽ᴬᴿ
armadilidi,虾ᴬ
armatur,配筋
arme,军
armeri,草ᴬᴱ
armilari,菌ᴬᴿ
armistic,停战
armoraci,草ᴬᴿᴹ
armori,徽ᴬ
arnik,羊菊
arog,傲
arogant,傲ᴬᴺ
arom,香ᴬ
arorut,葛
arpeĝ,散音
arsen,矿ᴬ
arsenal,库ᴬ
arsenid,矿化
art,艺
arteri,脉ᴬ
arteriektomi,脉除
arteriit,脉炎ᴬᴿ
artez,自流
artifik,诈ᴬ
artik,节ᴬ
artikol,文ᴬ
artikulaci,发音
artileri,炮兵
artiŝok,菜ᴬ
artokarp,木ᴬᴾ
artr,节ᴬᴿ
artralgi,节痛
artrit,节炎
artritism,节炎主义
artrologi,节学
artropod,节足
artroz,节症
arum,草ᴬᴹ
arund,草ᴬᴰ
arunk,草ᴬᵁ
arvikol,鼠ᴬᴿ
arĉ,弓
arĝent,银
arĥa,古ᴬᴬ
arĥaik,古ᴬᴷ
arĥaism,古主义
arĥe,古ᴬᴴ̂
arĥeolog,古学家
arĥeologi,古学
arĥipelag,群岛ᴬᴴ̂
arĥitekt,建筑ᴬᴴ̂
arĥitektur,建筑ᴬᵀ
arĥiv,档ᴬᴴ̂
asbest,石棉
asekur,保
asembl,汇编
asemble,会ᴬ
aseps,无腐
asert,断
asfalt,沥青
asfiksi,窒ᴬ
asidu,勤ᴬ
asign,配ᴬ
asimil,同ᴬ
asist,辅
asiz,审ᴬ
ask,囊ᴬ
askarid,回虫
asket,苦行
asklepiad,草ᴬˢ
askomicet,囊菌
askomikot,囊菌ᴬᴷ
asoci,联ᴬ
asonanc,韵ᴬ
asparag,菜ᴬˢ
aspart,天冬
aspartat,天冬盐
aspekt,显
asperg,洒
aspidistr,草ᴬˢᴾ
aspir,渴ᴬ
aspiraci,送气
aspleni,羊齿ᴬˢ
aspr,粗ᴬ
astak,虾ᴬˢ
astat,无定
astaten,卤ᴬ
asteni,弱ᴬ
aster,菊ᴬ
asteri,海星
asterisk,星号
astigmat,散光
astigmatism,散光主义
astilb,草ᴬˢᵀ
astm,喘
astr,星ᴬ
astrakant,木ᴬˢᵀ
astre,菌ᴬ
astrolog,星学家
astrologi,星学ᴬᴸ
astronaŭt,星航
astronaŭtik,星航学
astronom,星学
astronomi,天ᴬ
at,被
atak,攻
atav,祖
atavism,祖主义
ataŝe,随员
ateism,无神主义
ateist,无神家
atel,猴ᴬᴸ
atenc,害ᴬ
atend,待ᴬ
atent,注
atenu,衰
atest,证ᴬ
ating,到
atlet,选手
atletik,田径
atm,我ᴬ
atmometr,气计ᴬᵀ
atmosfer,气ᴬᵀ
atmosferografi,气志
atmosferologi,气学ᴬᵀ
atol,环礁
atom,子ᴬ
atoni,无张
ator,具ᴬ
atri,厅ᴬ
atribu,归
atribut,归ᴬᵀ
atrofi,无养
atrop,颠ᴬ
atropos,虫ᴬᴾ
atut,王牌
av,爷
aval,背书
avan,前ᴬⱽ
avanc,进ᴬ
avangard,前卫
avantaĝ,优
avar,吝
avatar,化身
avel,坚果
aven,燕麦
aventur,冒
avenu,道
averaĝ,均
averi,损ᴬ
avero,木ᴬⱽ
avers,前ᴬᴿ
avert,警ᴬⱽ
aviad,航
aviceni,木ᴬᶜ
avid,贪
avikulari,蛛ᴬⱽ
aviz,告ᴬ
avocet,鸟ᴬⱽ
avokad,鳄梨
azale,杜鹃
azarol,木ᴬᶻ
azen,驴
azil,庇ᴬ
azimen,木ᴬᴵ
azo,无生
azol,羊齿ᴬ
azot,氮ᴬ
azotemi,氮血
azoturi,氮尿
azuki,豆ᴬᶻ
aĉ,劣
aĉet,买
aĝ,岁
aĝi,升水
aĥeronti,虫ᴬᴴ̂
aĵ,物
aĵur,透空
aŝok,木ᴬˢ̂
aŭ,或
aŭbrieti,草ᴬᵁ̆
aŭd,听
aŭdac,敢
aŭdienc,接见
aŭditori,讲堂
aŭdometr,听计
aŭgur,占ᴬ
aŭgust,八月
aŭk,鸟ᴬᵁ̆
aŭkci,拍卖
aŭkub,木ᴬᵁ̆
aŭkume,木ᴬᵁ
aŭl,礼堂
aŭreli,海月
aŭreol,光环
aŭrikulari,菌ᴬᵁ̆
aŭror,晓
aŭskult,听ᴬˢ
aŭster,严ᴬ
aŭstralopitek,猴ᴬᵁ̆
aŭt,车
aŭtent,真ᴬᵁ̆
aŭtentik,真ᴬ
aŭtism,自主义
aŭtobiografi,自生志
aŭtobus,车ᴬᴮ
aŭtodidakt,自学
aŭtogami,自配
aŭtogen,自生
aŭtogir,自旋
aŭtograf,自记
aŭtografi,自志
aŭtokataliz,自催
aŭtoklav,高压锅
aŭtokrat,专制ᴬ
aŭtokrati,专制ᴬᴵ
